"Leave your phone number and name. We will contact you shortly.", "Оставьте Ваш номер телефона и имя. Мы в ближайшее время свяжемся с вами."
"Telephone", "Телефон"
"Send", "Отправить"
"loading ...", "загрузка ..."
"Callback", "Обратный звонок"
"You failed to enter phone.", "Телефон введен не корректно."
"Thank you for your request. We'll call you back shortly.", "Спасибо за Ваш запрос. Мы в ближайшее время свяжемся с вами."
"Please make sure to fill in all fields", "Убедитесь, что Вы заполнили все поля"
'Sorry, something went wrong...', "Извините, что-то неправильно..."
"Item does not exist.", "Запись не существует."
"Callback was successfully saved", "Запрос обратного звона успешно сохранен"
"Item was successfully removed", "Запись успешно удалена"
"Item(s) was successfully removed", "Записи успешно удалены"
"Customer Callbacks", "Обратный звонок"
"Customer Callbacks Manager", "Управление обратными звонками"
"Details", "Детально"
"Customer Name", "Имя клиента"
"Customer Telephone", "Телефон клиента"
"Add new Callback", "Добавить новый обратный звонок"
"Edit Callback '%s'", "Редактировать запись '%s'"
"Edit Item '%s'", "Редактировать запись '%s'"
"Remove Items", "Удалить запись"
"Are you sure?", "Вы уверены?"
"Action", "Действие"
"Edit", "Редактировать"
"ID", "Номер"
"Callback Request Message", "Сообщение при запросе орбатного звонка"
"Callback Confirm Message", "Сообщение подтверждения обратонго звонка"
"New", "Новый"
"Processed", "Обработано"
"Fail", "Ошибочный"
"Created At", "Создано в"
"Customer Comment", "Комментарий клиента"
"Administrate", "Администрирование"
"Status", "Статус"
"Modify At", "Изменен в"
"Operator Comment", "Комментарий оператора"
"Comment", "Комментарий"
"You have new Callback request", "У вас новый запрос на обратный звонок"
"Page, were Callback called", "Страница, с которой получена заявка на Обратный звонок"
"You have new %s callback(s) request(s) from customers.", "У Вас %s новый(х) запрос(ов) на обратный звонок от клиентов."
"NEW CALLBACK !!!", "НОВЫЙ ЗАПРОС НА ОБРАТНЫЙ ЗВОНОК !!!"
"Click here to go to <a href=""%s"">Customer Callbacks Manager</a>.", "Нажмите тут для перехода к <a href=""%s"">Менеджеру заявок на Обратный звонок</a>"
"Show User Comment Field in Form", "Show User Comment Field in Form"
"Show CallBack Link in Header", "Показывать ссылку на Обратный звонок в шапке сайта"
"Show CallBack Link in Footer", "Показывать ссылку на Обратный звонок в подвале сайта"
"Add New", "Добавить новую запись"
