"",""
"Action","Действие"
"Add Hot Category","Добавить горячую категорию "
"Add New Hot Category Attribute","Добавить новую горячую категорию атрибута"
"An error occurred while updating the hot categories.","Возникла ошибка,обновляя горячую категорию."
"Are you sure?","Вы уверены?"
"Attribute ""%s"" is required.","Атрибут ""%s"" обязателен."
"Attribute Information","Информация атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута неккоректен.Пожалуйста,используйте только буквы (а-я), цыфры (0-9) или нижние подчеркивание(_) в этом поле, первым символом должна быть буква."
"Attributes","Атрибуты"
"CSV","CSV"
"Category Id","Id категории"
"Category Mode","режим категории"
"Category URL","URL категории"
"Change status","Изменить статус"
"Could not find hot category to delete.","невозможно найти горячую категорию для удаления."
"Created at","Создано в"
"Declare attribute value saving scope","Объявить значение атрибута сохраняя объем"
"Default Values","Дефолтные значения"
"Delete File","Удалить файл"
"Delete Hot Category Attribute","Удалить атрибут горячей категории"
"Delete Hot Category","Удалить горячую категорию"
"Delete","Удалить"
"Description","Описание"
"Disabled","Отключено"
"Edit Hot Category '%s'","Редактирование горячей категории'%s'"
"Edit Hot Category Attribute ""%s""","редактирования атрибута горячей категории ""%s"""
"Edit Hot Category Attribute","Редактирование атрибута горячей категории"
"Edit","Редактировать"
"Enable WYSIWYG","Включить WYSIWYG"
"Enabled","Включить"
"Error saving hot category","Возникла ошибка,сохраняя горячую категорию"
"Excel","Excel"
"File","файл"
"Frontend Properties","Фронтенд свойсва"
"Global","Глобально"
"Home","Home"
"Hot Categories","Горячие категории"
"Hot Category Information","Информация горячих категорий"
"Hot Category was saved","Горячие категории сохранены"
"Hot Category was successfully deleted.","Горячие категории успешно удалены."
"Hot Category was successfully saved","Горячие категории успешно сохранены"
"Hot Category","Горячие категории"
"Id","Id"
"Image","Изображение"
"Manage Attributes","Управление атрибутов"
"Manage Hot Category Attributes","Управление атрибутов горячек категории"
"Manage Label / Options","Управление лейбой / Опции"
"New Hot Category Attribute","Новый атрибут горячей категории"
"No","Нет"
"None","Ни одного"
"Note","Примечание"
"Please select hot categories to delete.","Пожалуйста,выберите горячие категории для удаления."
"Please select hot categories.","Пожалуйста,выберите горячие категории."
"Position in the admin form","Позиция в админ форме"
"Position","Позиция"
"Properties","Свойсва"
"Reset","Скинуть"
"Save And Continue Edit","Сохранить и продолжить редактировать"
"Save Hot Category Attribute","Сохранить атрибут горячей категории"
"Save Hot Category","Сохранить горячую категорию"
"Scope","Объем"
"Status","Статус"
"Store View","Показывать в магазине"
"Store views","Просмотры магазина"
"Text to appear below the input.","Текст появился ниже поля инпута."
"The hot categories has been deleted.","Горячие категории были удалены."
"The hot category attribute has been deleted.","Атрибут горячей категории был удален."
"The hot category attribute has been saved.","Атрибут горячей категории был сохранен."
"There was a problem saving the hot category.","Возникла проблема,сохраняя горячую категорию."
"There was an error deleting hot categories.","Возникла ошибка,удаляя горячие категории."
"There was an error deleting hot category.","Возникла ошибка,удаляя горячую категорию."
"There was an error updating hot categories.","Возникла ошибка,обновляя горячие категории."
"This attribute cannot be deleted.","Невозможно удалить этот атрибут."
"This attribute cannot be updated.","Невозможно обновить этот атрибут."
"This attribute is not deletable","Невозможно удалить этот атрибут"
"This attribute no longer exists","Этот атрибут больше не существует"
"This hot category attribute cannot be edited.","Невозможно редактировать этот атрибут горячей категории."
"This hot category attribute no longer exists","Этот атрибут горячей категории больше не существует"
"This hot category no longer exists.","Эта горячая категория больше не существует."
"Title","Заголовок"
"Total of %d hot categories were successfully deleted.","Всего  %d Горячих категории успешно удалено."
"Total of %d hot categories were successfully updated.","Всего  %d Горячих категории успешно обновлено."
"Total of %d record(s) have been deleted.","Всего  %d записей удалено."
"Total of %d record(s) have been updated.","Всего  %d записей обновлено."
"Unable to find an attribute to delete.","Невозможно найти атрибут для удаления."
"Unable to find hot category to save.","Невозможно найти горячую категорию для сохранения."
"Updated at","Обновлено в"
"WYSIWYG Editor","WYSIWYG Редактор"
"Website","Вебсацт"
"XML","XML"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Site URL (without site name and language)", "Site URL (без названия сайта и языка)"
"URL by Category Id", "URL по Id категории"
"(level %s)", "(уровень %s)"
