"",""
"Action","Действие"
"Add Banner","Добавить баннер"
"Add New Banner Attribute","Добавить новый атрибут баннера "
"An error occurred while updating the banners.","Ошибка возникла во время обновления баннеров."
"Are you sure?","Вы уверенны?"
"Associated products","Связанные товары"
"Attribute ""%s"" is required.","Атрибут ""%s"" обязателен."
"Attribute Information","Информация атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Неправельный код атрибута. Пожалкйста,используйте только буквы (а-я), числа (0-9) или нижнее подчеркивание(_) в этом поле, первым символов должна быть буква."
"Attributes","Атрибуты"
"Banner Information","Информация баннера"
"Banner was saved","Баннер был сохранен"
"Banner was successfully deleted.","Баннер успешно удален."
"Banner was successfully saved","Баннер успешно сохранен"
"Banner","Баннер"
"Banners","Баннеры"
"CSV","CSV"
"Change status","Изменить статус"
"Could not find banner to delete.","Невозможно найти баннер для удаления."
"Created at","Созданно в"
"Declare attribute value saving scope","Объявить значение атрибута ,сохраняя объем"
"Decription","Описание"
"Default Values","Значения по умолчанию"
"Delete Banner Attribute","Удалить атрибут баннера"
"Delete Banner","Удалить баннер"
"Delete File","Удалить файл"
"Delete","Удалить"
"Disabled","Неактивен"
"Edit Banner '%s'","Редактирвоать баннер '%s'"
"Edit Banner Attribute ""%s""","Редактировать атрибут баннера ""%s"""
"Edit Banner Attribute","Редактировать атрибут баннера"
"Edit","Редактировать"
"Enable WYSIWYG","Активировать WYSIWYG"
"Enabled","Активировать"
"Error saving banner","Ошибка,сохраняя баннер"
"Excel","Excel"
"File","Файл"
"Frontend Properties","Фронтенд свойсва"
"Global","Глобально"
"Home","Home"
"Id","Id"
"Image","Изображение"
"Manage Attributes","Управление атрибутами"
"Manage Banner Attributes","Управление атрибутами баннера"
"Manage Label / Options","Управление лейбой / Опции"
"New Banner Attribute","Новый атрибут баннера"
"No","Нет"
"None","Ни одной"
"Note","Записка"
"Please select banners to delete.","Пожалуйста,выберите баннеры для удаления."
"Please select banners.","Пожалуйста,выберите баннеры."
"Position in the admin form","Позиция в админ форме"
"Position","Позиция"
"Properties","Свойства"
"Redirect URL","Редирект URL"
"Reset","Сброс"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Banner Attribute","Сохранить атрибут баннера"
"Save Banner","Сохранить баннер"
"Scope","Объем"
"Status","Статус"
"Store View","Показ магазина"
"Store views","Показы магазина"
"Text to appear below the input.","Появившийся текст ниже инпута."
"The banner attribute has been deleted.","Атрибут баннера успешно удален."
"The banner attribute has been saved.","Атрибут баннера успешно сохранен."
"The banners has been deleted.","Баннеры были удалены."
"There was a problem saving the banner.","Возникла проблема,сохраняя баннеры."
"There was an error deleting banner.","Возникла ошибка,удаляя баннер."
"There was an error deleting banners.","Возникла ошибка,удаляя баннеры."
"There was an error updating banners.","Возникла ошибка,обновляя баннеры."
"This attribute cannot be deleted.","Невозможно удалить этот атрибут."
"This attribute cannot be updated.","Невозможно обновить этот атрибут."
"This attribute is not deletable","Невозможно удалить этот атрибут"
"This attribute no longer exists","Этот атрибут больше не существует"
"This banner attribute cannot be edited.","Этот атрибут баннера невозможно редактировать."
"This banner attribute no longer exists","Этот атрибут баннера больше не существует"
"This banner no longer exists.","Этот баннер больше не существует."
"Title","Заголовок"
"Total of %d banners were successfully deleted.","Всего %d баннеров успешно удалено."
"Total of %d banners were successfully updated.","Всего %d баннеров успешно обновлено."
"Total of %d record(s) have been deleted.","Всего %d записей успешно удалено."
"Total of %d record(s) have been updated.","Всего %d записей обновлено."
"Unable to find an attribute to delete.","невозможно найти атрибут для удаления."
"Unable to find banner to save.","Невозможно найти баннер для сохранения."
"Updated at","Обновлен в"
"Use Breadcrumbs","Использовать бредкрамбс"
"WYSIWYG Editor","WYSIWYG редактировать"
"Website","Вебсайт"
"XML","XML"
"Yes","Да"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"show as Alt if not empty","показать как Alt если не пустое"
"Product Banners", "Баннеры для товаров"
