"Allow Everything","Разрешить все"
"Filter Properties","Свойсва фильтра"
"Display Type","Показать тип"
"Labels Only","Только лейбы"
"Images Only","только изображения"
"Images and Labels","Изображения и лейбы"
"Drop-down List","Выпадающий список"
"Labels in 2 columns","лейбы в две колонки"
"Folded by Default","Завернутая по дефолту"
"Do not show quantities","Не показвать количетсва"
"Sort Options By","Сортировать опции по"
"Position","Позиция"
"Name","Имя"
"Product Quatities","Количество продукта"
"ID","ID"
"Title","Заголовок"
"General","Общие"
"Options","Опции"
"Edit Filter Properties","Редактировать свойсва фильтра"
"Attribute","Атрибут"
"Delete","Удалить"
"Are you sure?","Вы уверены?"
"Manage Filters","Управление фильтров"
"Load","Загрузкка"
"On Page Description","На странице описания"
"Show Description","Показать описание"
"Description","Описание"
"Meta Tags","Мета теги"
"Title Tag","теги заголовков"
"Meta-Description Tag","мета тег описания"
"Images","Изображения"
"Small Image","Миниатюры"
"Remove Small Image","Удалить миниматюру"
"Main Image","Главное изображение"
"Remove Main Image","Удалить главное изображение"
"Option Properties","Свойсва опции"
"Filters","Фильтры"
"Filters and their options have been loaded","Фильтры и их опции были загружены"
"Filter does not exist","Фильтер не существует"
"Filter properties have been successfully saved","Свойсва фильтра успешно сохранены"
"Unable to find a filter to save","Вкл Способность нахождения фильтра для удаления "
"Please select filter(s)","Пожалуйста выберите фильтр(ы)"
"Total of %d record(s) were successfully deleted","Всего  %d запись(й) были успешно удалены"
"Option does not exist","Опции не существуют"
"Unable to find an option to save","Вкл.возможность нахождения опции для сохранения"
"Option properties have been successfully saved","Свойсва опции были успешно сохранены"
"Improved Layered Navigation","Улучшенная многослойная навигация"
"Settings","Настройки"
"Enabled","Включено"
"All","Все"
"Please Select","Пожалуйста выберите"
