"", ""
"Allow comments to wish item", "Разрешить комментировать вишлист"
"Telephone Settings", "Настройки телефона"
"Set default phone ""mask""", "Установить дефолтную маску для телефона""
"for example +380 dd ddd-dd-dd, customer can set his telephone number as +380 97 777-77-77", "пример +380 dd ddd-dd-dd, пользователь может установить свой телефон так +380 97 777-77-77"
"Enable Telephone field ""mask""", "Включить"маску"для поля Телефон
"helps customer enter valid telephone number by input ""mask""", " маска для поля инпута помогает пользователям вводить правильный номер телефона 
"Social Accounts", "Социальные сети"
"Social Account Links", "Ссылки социальных сетей"
"facebook", "Facebook"
"vk", "VKontakte"
"tweeter", "Tweeter"
"googleplus", "Google Plus"
"youtube", "Youtube"
"vimeo", "Vimeo"
"instagram", "Instagram"
"pinterest", "Pinterest"
"linkedin", "LinkedIn"
"renren", "Renren"
"flickr", "Flickr"
"tumblr", "Tumblr"
"blogger", "Blogger"
"you have no saved shipping address yet", "у Вас ещё нет сохраненных адресов доставки"
"%s was added to your shopping cart.","Товар %s успешно добавлен в корзину покупок."
"List is cleared", "Список очищен"
"The account information has been saved.", "Информация аккаунта сохранена"

"Please enter a valid coupon code.", "Пожалуйста введите дейтвительный код купона."
