"Allow Everything","Дозволити всі"
"Filter Properties","Властивості фільтра"
"Display Type","Показати тип"
"Labels Only","Тільки лейби"
"Images Only","Тільки зображення"
"Images and Labels","Зображення та лейби"
"Drop-down List","Випадаючий список"
"Labels in 2 columns","Лейби в дві колонки"
"Folded by Default","Загорнута по дефолту"
"Do not show quantities","Не показувати кількість"
"Sort Options By","Сортувати опції по"
"Position","Позиція"
"Name","Им'я"
"Product Quatities","Кількість продукта"
"ID","ID"
"Title","Назва"
"General","Загальне"
"Options","Опції"
"Edit Filter Properties","Редагувати властивості фільтра"
"Attribute","Атрибут"
"Delete","Видалити"
"Are you sure?","Ви впевнені?"
"Manage Filters","Керування фільтрів"
"Load","Завантаження"
"On Page Description","На сторінці опису"
"Show Description","Показати опис"
"Description","Опис"
"Meta Tags","Мета теги"
"Title Tag","Теги назв"
"Meta-Description Tag","Мета тег опису"
"Images","Зображення"
"Small Image","Миніатюри"
"Remove Small Image","Видалити миніатюру"
"Main Image","Головне зображення"
"Remove Main Image","Видалити головне зображення"
"Option Properties","Властивості опцій"
"Filters","Фільтри"
"Filters and their options have been loaded","Фільтри та їх опції були завантажені"
"Filter does not exist","Фільтр не існує"
"Filter properties have been successfully saved","Властивості фільтра вдало збережені"
"Unable to find a filter to save","Ввімкнути властивість знаходження фільтра для видалення"
"Please select filter(s)","Будь ласка, оберіть фільтр(и)"
"Total of %d record(s) were successfully deleted","Разом %d запис(ів) було вдало видалено"
"Option does not exist","Опції не існують"
"Unable to find an option to save","Ввімкнути можливість знаходження опції для збереження"
"Option properties have been successfully saved","Властивості опції були вдало збережені"
"Improved Layered Navigation","Покращена багатошарова навігація"
"Settings","Налаштування"
"Enabled","Ввімкнено"
"All","Всі"
"Please Select","Будь ласка, оберіть"
