"", ""
"General", "Общие"

# редактирование формы
"<a href="%s">Set Up values for each store</a>", "<a href="%s">Установить значение для каждого магазина</a>"
"Export File Settings", "Експортировать настройки файла"
"Name", "Имя"
"File name", "Имя фийла"
"Type", "Тип"
"Status", "Статус"
"Shop Settings and Store Selector", "Настройки магазина и Выбор магазина"
"Shop Name", "Имя магазина"
"Company Name", "Имя компании"
"Use each store config defaults if blank", "Каждая настройка магазина используется по дефолту если ничего не изменять"
"Store View", "Вид магазина"
"Items Settings", "Настройки товара"
"Categories", "Категории"
"all categories if no selection", "Все категории если ничего не выбрано"
"Include Out of Stock", "Включая те товары которых нет в наличии"
"Min price", "Минимальная цена"
"Max price", "Максимальная цена"
"Description", "Описание"
"Use {{name}} for insert product name in description", "Используется {{имя}} для вставки имени продукта в описание"
"Add Custom Attributes Settings", "Добавляет кастомные настройки атрибутов"
"UTM Settings", "UTM настройки"
"Use UTM", "Использовать UTM"
"No", "Нет"
"Yes", "Да"
"UTM medium", "UTM medium"
"UTM source", "UTM source"
"UTM term", "UTM term"
"UTM campaign", "UTM campaign"
"YML MarketExport", "YML экспорт товаров"
