"",""
"Action","Дія"
"Add Hot Category","Додати гарячу категорію"
"Add New Hot Category Attribute","Додати новий атрибут гарячої категорії"
"An error occurred while updating the hot categories.","Сталася помилка при оновленні гарячої категорії."
"Are you sure?","Ви впевнені?"
"Attribute ""%s"" is required.","Атрибут ""%s"" обов'язковий."
"Attribute Information","Информація атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута некоректний. Будь ласка, використовуйте тільки літери (а-я), цифри (0-9) або нижнє підкреслення(_) в цьому полі, першим символом має бути літера."
"Attributes","Атрибути"
"CSV","CSV"
"Category Id","Id категорії"
"Category Mode","Режим категорії"
"Category URL","URL категорії"
"Change status","Змінити статус"
"Could not find hot category to delete.","Неможливо знайти гарячу категорію для видалення."
"Created at","Створено в"
"Declare attribute value saving scope","Оголосіть значення атрибута економії обсягу"
"Default Values","Дефолтні значення"
"Delete File","Видалити файл"
"Delete Hot Category Attribute","Видалити атрибут гарячої категорії"
"Delete Hot Category","Видалити гарячу категорію"
"Delete","Видалити"
"Description","Опис"
"Disabled","Відключено"
"Edit Hot Category '%s'","Редагування гарячої категорії'%s'"
"Edit Hot Category Attribute ""%s""","Редагування атрибута гарячої категорії ""%s"""
"Edit Hot Category Attribute","Редагування атрибута гарячої категорії"
"Edit","Редагувати"
"Enable WYSIWYG","Ввімкнути WYSIWYG"
"Enabled","Ввімкнути"
"Error saving hot category","Сталася помилка при збереженні гарячої категорії"
"Excel","Excel"
"File","файл"
"Frontend Properties","Властивості Фронтенду"
"Global","Глобально"
"Home","Home"
"Hot Categories","Гарячі категорії"
"Hot Category Information","Информація гарячих категорій"
"Hot Category was saved","Гарячі категорії збережені"
"Hot Category was successfully deleted.","Гарячі категорії вдало видалені."
"Hot Category was successfully saved","Гарячі категорії вдало збережені"
"Hot Category","Гарячі категорії"
"Id","Id"
"Image","Зображення"
"Manage Attributes","Керування атрибутами"
"Manage Hot Category Attributes","Керування атрибутами гарячих категорій"
"Manage Label / Options","Керування лейбою / Опції"
"New Hot Category Attribute","Новий атрибут гарячої категорії"
"No","Ні"
"None","Жодного"
"Note","Примітка"
"Please select hot categories to delete.","Будь ласка, оберіть гарячі категорії для видалення."
"Please select hot categories.","Будь ласка, оберіть гарячі категорії."
"Position in the admin form","Позиція в адмін формі"
"Position","Позиція"
"Properties","Властивості"
"Reset","Скинути"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Hot Category Attribute","Зберегти атрибут гарячої категорії"
"Save Hot Category","Зберегти гарячу категорію"
"Scope","Об'єм"
"Status","Статус"
"Store View","Показувати у магазині"
"Store views","Перегляди магазина"
"Text to appear below the input.","Текст з'явився нижче поля інпута."
"The hot categories has been deleted.","Гарячі категорії були видалені."
"The hot category attribute has been deleted.","Атрибут гарячої категорії був видалений."
"The hot category attribute has been saved.","Атрибут гарячої категорії був збережений."
"There was a problem saving the hot category.","Виникла проблема при збереженні гарячої категорії."
"There was an error deleting hot categories.","Виникла проблема при видаленні гарячих категорій."
"There was an error deleting hot category.","Виникла проблема при видаленні гарячої категорії."
"There was an error updating hot categories.","Виникла проблема при оновленні гарячих категорій."
"This attribute cannot be deleted.","Неможливо видалити цей атрибут."
"This attribute cannot be updated.","Неможливо оновити цей атрибут."
"This attribute is not deletable","Неможливо видалити цей атрибут"
"This attribute no longer exists","Цей атрибут більше не існує"
"This hot category attribute cannot be edited.","Неможливо редагувати цей атрибут гарячої категорії."
"This hot category attribute no longer exists","Цей атрибут гарячої категорії більше не існує"
"This hot category no longer exists.","Ця гаряча категорія більше не існує."
"Title","Назва"
"Total of %d hot categories were successfully deleted.","Разом  %d Гарячих категорій вдало видалено."
"Total of %d hot categories were successfully updated.","Разом  %d Гарячих категорій вдало оновлено."
"Total of %d record(s) have been deleted.","Разом %d записів видалено."
"Total of %d record(s) have been updated.","Разом %d записів оновлено."
"Unable to find an attribute to delete.","Неможливо знайти атрибут для видалення."
"Unable to find hot category to save.","Неможливо знайти гарячу категорію для збереження."
"Updated at","Оновлено у"
"WYSIWYG Editor","WYSIWYG Редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Так"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Site URL (without site name and language)", "Site URL (без назви сайта та мови)"
"URL by Category Id", "URL по Id категорії"
"(level %s)", "(рівень %s)"
