"", ""
"General", "Загальні"

# редактирование формы
"<a href="%s">Set Up values for each store</a>", "<a href="%s">Встановити значення для кожного магазина</a>"
"Export File Settings", "Експортувати налаштування файла"
"Name", "Ім'я"
"File name", "Ім'я файла"
"Type", "Тип"
"Status", "Статус"
"Shop Settings and Store Selector", "Налаштування магазина та вибір магазина"
"Shop Name", "Ім'я магазина"
"Company Name", "Им'я компанії"
"Use each store config defaults if blank", "Кожне налаштування магазина використовується за замовчуванням, якщо нічого не змінювати"
"Store View", "Вид магазина"
"Items Settings", "Налаштування товара"
"Categories", "Категорії"
"all categories if no selection", "Всі категорії, якщо нічого не обрано"
"Include Out of Stock", "В тому числі ті товари, яких немає в наявності"
"Min price", "Мінімальна ціна"
"Max price", "Максимальна ціна"
"Description", "Опис"
"Use {{name}} for insert product name in description", "Використовується {{им'я}} для вставлення імені продукта в опис"
"Add Custom Attributes Settings", "Додає кастомні налаштування атрибутів"
"UTM Settings", "UTM налаштування"
"Use UTM", "Використовувати UTM"
"No", "Ні"
"Yes", "Так"
"UTM medium", "UTM medium"
"UTM source", "UTM source"
"UTM term", "UTM term"
"UTM campaign", "UTM campaign"
"YML MarketExport", "YML експорт товарів"
