"Faq page","Допомога"
"Faq Categories","Категорії питань"
"-- Without a category --","-- Без категорії --"
"New","Новий"
"Approved","Затверджений"
"Canceled","Відмінений"
"Faq Questions","Питання"
"Name","Им'я"
"E-mail address","Е-мейл"
"Question","Питання"
"Send message","Відправити повідомлення"
"Thank you for submitting your request.","Дякуємо за Ваш запит."
"Faq page not found!","Сторінка допомоги не знайдена!"
"Need help?", "Потребуєте допомоги?"
"Ask questions by any convenient way", "Запитайте будь-яким зручним для Вас способом"
"Show more", "Показати більше"
"Video answers", "Відео відповіді"
"Answer for your questions","Відповіді на Ваші запитання"
"Settings","Налаштування"
"Show more limit","Кількість питань перед ""Показати більше"""
"Ask your question", "Запитайте"
