"Visa / MasterCard credit cards payment effected through the LiqPay payment system.", "Платеж с кредитных карт Visa / MasterCard проводится через шлюз платежной системы LiqPay."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.", "Введение данных кредитной карты производится на сайте платежной системы. Вы будете перемещены на платежную страницу после подтверждения Вашего заказа на следующем шаге."
"You will be redirected to the Liqpay website in a few seconds.", "Вы будете перемещены на сайт Liqpay в течении нескольких секунд."
"Customer switch over to Liqpay payment interface.", "Клиент переключился на платежный интерфейс Liqpay."
"Invoice was placed in sandbox mode.", "Счет был создан в режиме песочницы."
"Customer successfully got back from Liqpay payment interface.", "Пользователь успешно был возвращен из платежного интерфейса Liqpay."
"Liqpay", "Liqpay"
"Enabled", "Включено"
"Title", "Заголовок"
"Payment from Applicable Countries", "Платеж их Приемлемых стран"
"Payment from Specific Countries", "Платеж из Специфических стран"
"Debug mode", "Режим отладки"
"Liqpay fields", "Поля Liqpay"
"Public Key", "Публичный Ключ"
"Private Key", "Приватный Ключ"
"Liqpay URL (action)", "Liqpay URL (действие)"
"Language", "Язык"
"Russian", "Русский"
"Order", "Заказ"
"Order #", "Заказ №"
"Data or signature is empty", "Подпись или данные пустые"
"Order id is not set", "Номер заказа не указан"
"Cannot load order", "Невозможно загрузить заказ"
"Security check failed!", "Проверка безопасности не пройдена!"
"Invoice #%s created.", "Счет  №%s создан."
"Invoice #%s created (sandbox).", "Счет №%s создан (песочница)."
"Error during creation of invoice.", "Ошибка в процессе создания счета."
"Liqpay error.", "ошибка Liqpay."
"Waiting for verification from the Liqpay side.", "Ожидание верефикации со стороны Liqpay"
"Waiting for accepting from the buyer side.", "Ожидание подтверждения со стороны покупателя"
"Unexpected status from server: %s", "Неопределенный статус от сервера: %s"
