"",""
"Action","Действие"
"Add Contact","Добавить контакт"
"Add New Contact Attribute","Добавить новый атрибут контакта"
"Additional Text","Дополнительный текст"
"An error occurred while updating the contacts.","Ошибка возникла во время обновления контактов."
"Are you sure?","Вы уверенны?"
"Attribute ""%s"" is required.","Атрибут ""%s"" обязателен."
"Attribute Information","Информация атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Ошибочный код атрибута. Пожалуйста,используйте только буквы (а-я), числа (0-9) или нижнее подчеркивание(_) в этом поле, Первым символом должны быть буква."
"Attributes","Атрибуты"
"CSV","CSV"
"Change Show In Footer","Изменить вид футера"
"Change Show in Header","Изменить вид хедера"
"Change status","Изменить статус"
"Contact Information","Контактная информация"
"Contact was saved","Контакт был сохранен"
"Contact was successfully deleted.","Контакт был успешно удален."
"Contact was successfully saved","Контакт был успешно сохранен"
"Contact","Контакт"
"Contacts","Контакты"
"Could not find contact to delete.","Невозможно найти контакт для удаления."
"Created at","Создан в"
"Declare attribute value saving scope","Объявить значение атрибута,сохраняя объем"
"Default Values","Значения по умолчанию"
"Delete Contact Attribute","Удалить атрибут контакта"
"Delete Contact","Удалить контакт"
"Delete File","Удалить файл"
"Delete","Удалить"
"Disabled","Неактивный"
"Edit Contact '%s'","Редактировать контакт '%s'"
"Edit Contact Attribute ""%s""","Редактировать атрибут контакта ""%s"""
"Edit Contact Attribute","Редактировать атрибут контакта"
"Edit","Редактировать"
"Enable WYSIWYG","Активировать WYSIWYG"
"Enabled","Активировать"
"Error saving contact","Ошибка,сохраняя контакт"
"Excel","Excel"
"File","Файл"
"Frontend Properties","Свойсва фронтенда"
"Global","Глобально"
"Home","Домашняя"
"Id","Id"
"Image","Изображения"
"Manage Attributes","Управления атрибутов"
"Manage Contact Attributes","Управление атрибутов контактв"
"Manage Label / Options","Управление лейбой/ Опции"
"New Contact Attribute","Новый атрибут контакта"
"No","Нет"
"None","Ни одной"
"Note","Заметка"
"Phone Details","Детали телефона"
"Phone","Телефон"
"Please select contacts to delete.","Пожалуйста,выберите контакты для удаления."
"Please select contacts.","Пожалуйста,выберите контакты."
"Position in the admin form","Позиция в админ форме"
"Position","Позиция"
"Properties","Свойства"
"Reset","Сброс"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Contact Attribute","Сохранить атрибут контакта"
"Save Contact","Сохранить контакт"
"Scope","Объем"
"Show In Footer","Показать в футере"
"Show in Header","Показать в хедере"
"Status","Статус"
"Store View","Показ магазина"
"Store views","Показы магазина"
"Text to appear below the input.","Текст появившейся ниже инпута."
"The contact attribute has been deleted.","Атрибут контакта был удален."
"The contact attribute has been saved.","Атрибут контакта был сохранен."
"The contacts has been deleted.","Контакты были удалены."
"There was a problem saving the contact.","Возникла проблема,сохраняя контакт."
"There was an error deleting contact.","Возникла ошибка,удаляя контакт."
"There was an error deleting contacts.","Возникла ошибка,удаляя контакты."
"There was an error updating contacts.","Возникла ошибка,обновляя контакты."
"This attribute cannot be deleted.","Невозможно удалить это атрибут."
"This attribute cannot be updated.","Невозможно обновить это атрибут."
"This attribute is not deletable","Невозможно удалить это атрибут"
"This attribute no longer exists","Этот атрибут больше не существует"
"This contact attribute cannot be edited.","Этот атрибут контакта невозможно отредактировать."
"This contact attribute no longer exists","Этот атрибут контакта больше не сущесвует"
"This contact no longer exists.","Этот контакт больше не сущесвует."
"Title","Заголовок"
"Total of %d contacts were successfully deleted.","Всего  %d контактов успешно удалено."
"Total of %d contacts were successfully updated.","Всего  %d контактов успешно обновлено."
"Total of %d record(s) have been deleted.","Всего  %d запись(ей) было успешно удалено."
"Total of %d record(s) have been updated.","Всего %d запись(ей) успешно обновлено."
"Unable to find an attribute to delete.","Невозможно найти атрибут для удаленич."
"Unable to find contact to save.","Невозможно найти контакт для сохранения ."
"Updated at","Обновлено в"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Да"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Mobile Operator Icon", "Иконка мобильного оператора"
"recommended 40x40 PNG picture", "рекомендовано 40x40 PNG излбражение"
"Our Contacts and CallBack", "Наши контакты и обратная связь"
"Setup blocks positions", "Установить позиции блоков"
"set block position in header, where to show callback and phones list", "Установить позицию блока в хедере, где показывать обратную связь и список телефонов"
"Header CallBack and Contacts positions", "Обратная связь хедера и позиция контактов"
"Our Contacts", "Наши контакты"
