"Special Price:","Спеціальна ціна:"
"My Wishlist","Обране"
"My Wishlist (%d item)","Обране (%d)"
"My Wishlist (%d items)","Обрані (%d)"
"My Account","Мій кабінет"
"Cart","Кошик"
"View Cart","Показати кошик"
"View all items in your shopping cart","Показати всі товари у кошику"
"View All","Показати всі"
"Compare","Порівняння"
"Compare Products","Порівняти товари"
"Compare all selected items","Порівняти усі обрані товари"
"Currency","Валюта"
"Language","Мова"
"Sign Up","Увійти"
"Enter your e-mail","Введіть ваш e-mail"
"Click to see more products from %s","Натисніть, щоб побачити більше товарів %s"
"Related Products","Зв'язані товари"
"Zoom","Збільшити"
"image {current} of {total}","{current} / {total}"
"New","Новинка"
"Sale","Акція"
"Categories","Категорії"
"Menu","Меню"
"Email to a Friend","Поділитися"
"Product Tags","Тегі"
"Product Description","Опис"
"Additional Information","Характеристики"
"Other Products","Інші товари"
"Developed by", "розроблено в"
"Join us on %s", "Приєднатися до нас в %s"
"Product Catalog", "Каталог товарів"
"Information", "Інформація"
"Our Contacts:", "Наші контакти:"
"SKU", "Код товара"
"Be the first to review this product", "Додати відгук"
"View All", "Подивитися Все"
"Continue", "Продовжити"
"Shop Address:", "Адреса магазина:"
"Hours of Operations:", "Години роботи:"
"Categories", "Категорії"
"Callback", "Зворотній дзвінок"
"Popular categories", "Популярні категорії"
"%s Item(s)", "%s товар(а)"
"Show", "Показати"
"per page", "на сторінці"
"Items %s to %s of %s total", "Товари з %s по %s із %s у каталозі"
"Buy in credit", "Купити в кредит"
"Add to Cart", "Купити"
"Qty:", "Кількість"
"Related Products", "Похожі товари"
"Login", "Увійти"
"Add to Wishlist", "В обране"
"Add to Compare", "У порівняння"
"Login", "Увійти"
"Sing In", "Увійти"
"Account", "Мій кабінет"
"Newsletter Subscription", "Підписка"
"Subscriptions", "Підписки"
"Subscription", "Підписка"
"News", "Новини"
"Keep abreast of the latest news", "Будьте в курсі останніх новин"
"You are subscribed to %s.", "Ви підписані на %s"
"Your Name", "Ваше ім'я"
"Be the first to review this product", "Додати відгук"
"Add a Review", "Додати відгук"
"I am registered", "Я зареєстрован"
"I am new buyer", "Я новий покупець"
"Shopping bag", "Кошик покупок"
"Shipping Methods:", "Методи доставки:"
"Payment Methods:", "Методи оплати:"
"State/Province", "Район/Область"
"Default Address", "Адреса за замовчуванням"
"Clear List", "Очистити список"
"%s has been added to your wishlist.", "у лист побажань додано: %s."
"Shipping Address", "Адреса доставки"
"You failed to enter phone.", "Невірно вказаний номер телефона"
"Telephone", "Телефон"
"Comment", "Коментар"
"Write Your Review", "Залиште Ваш відгук"
"Your Name", "Ваше ім'я"
"Your Review", "Ваш відгук"
"Review for %s", "Відгук для %s"
"loading ...", "іде завантаження ..."
"The page you requested was not found.", "Сторінка, яку Ви запросили, не знайдена"
"My Orders", "Мої замовлення"
"Submit", "Підтвердити"
"Rating", "Рейтинг"
"About order", "Про замовлення"
"Search entire store here...","Пошук товара..."
"Search", "Пошук"
"Close", "Закрити"
"Find", Знайти"
"Filter", "Фільтр"
"Currently Shopping by", "Товари отфільтровано по"
"%s was added to your shopping cart.","Товар %s вдало доданий у кошик покупок."
"Email Address", "Email адреса"
"Please select region, state or province", "Будь ласка, оберіть район/область"
"Previous", "Попередня"
"Next", "Наступна"
"Follow us in social networks", "Ми у соц.мережах"
"Your order has been accepted for moderation. In the near future you will be contacted our managers.", "Ваше замовлення було прийнято до обробки . Найближчим часом з Вами зв'яжется наш менеджер."
