"<a class="fancybox" href="#agreement-content-%s">Placing an order you agree to the terms of %s.</a>","<a class="fancybox" href="#agreement-content-%s">Оформлюючи замовлення Ви погоджуєтеся з умовами %s.</a>"
"Shipping and payment","Доставка та оплата"
"Confirm order","Підтвердити замовлення"
"Code of product: %s","Артикул: %s"
"Code of product:","Артикул:"
"pcs.","од."
"Products in order","Товари в замовленні"
"Thank you for your purchase!","Дякуємо за Ваше замовлення!"
"You have made an excellent choice.","Ви зробили чудовий вибір."
"The manager will contact you by phone <strong>%s</strong>.","Менеджер зв'яжеться з Вами по телефону<strong>%s</strong>."
"Your order number","Ваш номер замовлення"
"Shipping method:","Метод доставки:"
"Shipping by address:","Відправлення за адресою:"
"Payment method:","Метод оплати:"
"Products in order","Товари у замовленні"
"Shipping cost:","Ціна за доставку:"
"Total:","Загалом:"
"User agreement","Угода користувача"
"Personal Information", "Особиста інформація"
"First Name", "Ім'я"
"Last Name", "Прізвище"
"City", "Місто"
"Nova Poshta - Nova Poshta", "Нова Пошта"
"One Step Checkout", "Одношаговий чекаут"
"Sorry, no quotes are available for this order at this time.", "Вибачте, на даний момент немає доступних варіантів вибора."
"Coupon code ""%s"" was applied successfully.", "Купон на знижку %s вдало використано."
"Coupon code ""%s"" is not valid.", "Купон на знижку %s не дійсний."
"Coupon code was canceled successfully.", "Купон на знижку вдало скасований."
"Can not apply coupon code.", "Використати купон на знижку не вдалося."
"Item remove successfully.", "Товар вдало видалений."
"Item remove error.", "Не вдалося видалити товар."
"Maximum Allowed Qty: %s", "Максимальна кількість товара: %s"
"Item qty was changed successfully.", "Зміна кількості товара пройшла вдало"
"Item qty changed has error.", "Зміна кількості товара не вдалась."
"There was an error processing your order. Please contact us or try again later.", "У процесі збереження замовлення відбувся збій. Будь ласка, зв'яжіться з нами або спробуйте ще раз."
"Please agree to all Terms and Conditions before placing the order.", "Будь ласка, підтвердіть Правила и Умови перед збереженням замовлення."
"Discount (%s):", "Знижка (%s):"
"Your Comment for this Order", "Ваш коментар до цього замовлення"
"Applied discount coupon: ", "Використана знижка по купону: "
"Maximum Characters:", "Максимум символiв: "
"Character Left: ", "Залишилось символiв:"
"I am new buyer", "Я новий покупець"
"I am registered", "Я уже зареєстрований"
"Your comment for order is ", " Ваш коментар для замовлення"
