"", ""
"Allow comments to wish item", "Дозволити коментувати лист бажань"
"Telephone Settings", "Налаштування телефона"
"Set default phone ""mask""", "Встановити дефолтну маску для телефона""
"for example +380 dd ddd-dd-dd, customer can set his telephone number as +380 97 777-77-77", "приклад +380 dd ddd-dd-dd, користувач може встановити свій телефон так +380 97 777-77-77"
"Enable Telephone field ""mask""", "Ввімкнути""маску""для поля Телефон"
"helps customer enter valid telephone number by input ""mask""", " маска для поля інпута допомагає користувачам вводити вірний номер телефона "
"Social Accounts", "Социальні мережі"
"Social Account Links", "Посилання соціальних мереж"
"facebook", "Facebook"
"vk", "VKontakte"
"tweeter", "Tweeter"
"googleplus", "Google Plus"
"youtube", "Youtube"
"vimeo", "Vimeo"
"instagram", "Instagram"
"pinterest", "Pinterest"
"linkedin", "LinkedIn"
"renren", "Renren"
"flickr", "Flickr"
"tumblr", "Tumblr"
"blogger", "Blogger"
"you have no saved shipping address yet", "у Вас ще немає збережених адрес доставки"
"%s was added to your shopping cart.","Товар %s вдало доданий до кошику покупок."
"List is cleared", "Список очищений"
